"","s0"
"(Intercept)",3.52957605282255
"(Intercept)",1
"absolut",1.07320846571422
"wonder",1.25178812828951
"comfort",2.17597629609931
"love",1.48678873752233
"pretti",1.01746919486672
"find",1.29873545711176
"store",1.13228873075664
"glad",2.48311353837466
"order",1
"onlin",0.900570537980049
"petit",1.24878845910666
"bought",1.32758596056666
"length",1.10537331053352
"hit",1.00121603491306
"just",0.862167467360826
"littl",1.76758988219716
"knee",1
"definit",1.22669588860596
"true",1.15694316996934
"high",1
"hope",0.808114759049291
"realli",0.995781694563108
"want",0.562714583315707
"work",0.784353699264505
"small",0.905888665296187
"usual",1.06254634318455
"size",1.17530859691795
"found",0.87123677658843
"medium",1.43897103593424
"overal",1.06281869487037
"top",0.943324145575373
"fit",0.995188445429604
"nice",1.56388946603399
"bottom",0.838456317313758
"tight",0.971443708163949
"layer",1
"well",1.331541482296
"fall",1.24028889593883
"design",0.778442683364922
"wish",1.34308405514044
"tie",1.15927217817871
"around",0.931817408609389
"waist",0.968586391352087
"usual_size",1.2314186736136
"flat",0.809038303442971
"style",1
"like",1
"model",0.801365517363254
"get",0.925840625687295
"flatter",1.2429732776834
"look",0.752660680701452
"color",1.05613061284966
"fabric",0.656188834147918
"great",1.74863674674795
"qualiti",0.68385010570204
"person",1.09603843422343
"happi",2.87607970012335
"fun",2.10111205109709
"everi",1
"time",0.840927280788065
"wear",1.05476499413637
"compliment",5.64274940516329
"shirt",0.867762602281358
"front",0.993730139022491
"perfect",2.35358474404073
"leg",1
"pair",1.08044452712142
"jean",1.38548410756176
"wash",0.55466996732343
"show",1
"better",1.02891900767611
"navi",1.62514575800438
"almost",0.940906696707567
"someth",0.86050969298709
"white",1
"red",1
"loos",1
"dress",1.09347601988696
"one",1
"tall",0.887349602939961
"lot",1.26599685082662
"skirt",1
"long",1.03254147213052
"full",1.07450945658147
"take",0.906128230000474
"return",0.289354722233845
"sure",1.09643529162438
"usual_wear",1
"issu",1.13413892795117
"review",0.902856932848546
"good",1.11311174988939
"versatil",2.27507107395938
"worn",1.38214659519211
"short",0.86546712684973
"make",1.02260759232317
"underneath",1.13431523441535
"love_color",0.715760804619118
"see",0.88117022651168
"went",1.09606332733878
"gorgeous",1.53886866956748
"tri",0.856654103198521
"decid",1.44575821413746
"though",1.2238469978027
"said",1.15053560526937
"everyth",1
"pant",0.897870951750804
"look_like",0.550388746190777
"mani",1.22703636552785
"end",0.989678655515562
"worth",0.945293149262676
"got",1.24437467570868
"quit",1
"buy",1.11417470326304
"feel",1
"think",1.18946557817315
"alway",1.52310401887696
"use",0.720107515989739
"feel_like",0.98077964616473
"bit",1.59959628002749
"big",0.972326447814407
"sleev",0.953167153341245
"go",0.79107858384457
"sinc",1.0590078033133
"light",1.37988169901271
"pictur",0.87066955644883
"even",0.676940945772297
"huge",0.299271790014666
"sweater",0.892679175450511
"beauti",1.52592404441402
"will",1.36160563918384
"back",0.572867485123539
"tee",1.33618385619138
"soft",1.7946966965885
"thin",0.58427857347379
"summer",1.29533536087237
"area",0.818551573204016
"run",1.18364929451315
"larger",1.07905248044531
"normal",1.10813915394115
"snug",1.56213941322882
"bust",0.871640712476848
"say",1
"feminin",3.28620830402484
"retail",0.886206027483638
"fine",1
"room",1.16956129645608
"sheer",0.838113499803525
"bra",1.02286527405952
"easili",1.10633106218851
"order_size",1.23604670788867
"lbs",1
"typic",1.15047112182382
"regular",1.121641675235
"smaller",0.878619389774707
"longer",1.11441588304467
"fit_perfect",1.21730544879831
"shape",0.710793013287891
"super",1.14310431797597
"flowi",1.26059948302989
"materi",0.618613815932465
"spring",1.47737255122211
"pull",0.708500135525385
"disappoint",0.212885987026793
"first",0.837626387196518
"year",1.08363967607441
"look_great",1
"right",1
"lace",1
"blue",1.18440341808791
"made",0.779783603428363
"line",0.944799317752478
"keep",1.20411892277724
"pocket",1
"print",1.09632119281092
"tts",1.60658067797343
"seem",0.664066482136562
"much",0.842897951836309
"black",1.27230823276899
"boot",2.71398319357576
"chest",0.949124208894985
"came",0.82079754528596
"especi",1
"sale",1.19902641221099
"price",0.655317495302876
"now",1
"enough",1.57435450218175
"problem",0.758408413774916
"purchas",1.16451608496239
"size_small",0.994899337299296
"fit_well",1
"cute",1.05448608382942
"receiv",0.933544259553359
"can",1.94768588223214
"put",0.769268720471565
"side",1
"figur",0.933122055133945
"way",0.638239398148741
"bodi",0.829543268689602
"still",1.08882090256654
"hip",0.919444513590984
"thought",0.575160907907283
"uniqu",3.00757299271228
"t",1.29399441246992
"open",0.771199149807876
"part",0.920109900216614
"well_made",1.31135970546214
"larg",1
"hem",1.11638235624333
"may",1.29803618141677
"blous",1
