"","s0"
"(Intercept)",1.26117776538227
"(Intercept)",0
"absolut",0.0706527278295133
"wonder",0.224573031751646
"comfort",0.777477435597649
"love",0.396618584434016
"pretti",0.0173183625610472
"find",0.261391065764575
"store",0.124241009763949
"glad",0.909513231769242
"order",0
"onlin",-0.104726785418317
"petit",0.222173848589789
"bought",0.283362225760054
"length",0.100183115502341
"hit",0.00121529614146376
"just",-0.148305749507136
"littl",0.569616970223873
"knee",0
"definit",0.204324285462106
"true",0.145781328569014
"high",0
"hope",-0.213051202019787
"realli",-0.00422722758701412
"want",-0.574982736198963
"work",-0.242895213346896
"small",-0.0988388664768075
"usual",0.0606682379801037
"size",0.161530748788266
"found",-0.137841494539449
"medium",0.363928299790392
"overal",0.0609245249542786
"top",-0.0583453167331442
"fit",-0.0048231673644568
"nice",0.447175965734294
"bottom",-0.176192795302813
"tight",-0.0289719550611725
"layer",0
"well",0.286337280346075
"fall",0.215344333077015
"design",-0.250459914869464
"wish",0.294968503177842
"tie",0.147792375595505
"around",-0.0706183969993434
"waist",-0.0319175989237177
"usual_size",0.208166897919216
"flat",-0.211909016390605
"style",0
"like",0
"model",-0.221438109702762
"get",-0.0770531696375503
"flatter",0.217506314054038
"look",-0.28414077598185
"color",0.0546118640461952
"fabric",-0.421306674528104
"great",0.558836482497494
"qualiti",-0.380016529085547
"person",0.0917022556330754
"happi",1.05642815161786
"fun",0.742466752709709
"everi",0
"time",-0.173250090300559
"wear",0.0533179877414805
"compliment",1.73037142991362
"shirt",-0.141837101405499
"front",-0.00628959910263281
"perfect",0.85593958887629
"leg",0
"pair",0.0773725556389154
"jean",0.326049614711446
"wash",-0.589381995583499
"show",0
"better",0.0285087440127536
"navi",0.485597508992611
"almost",-0.0609112976522357
"someth",-0.150230399027815
"white",0
"red",0
"loos",0
"dress",0.0893616312069429
"one",0
"tall",-0.119516233468885
"lot",0.235859836220167
"skirt",0
"long",0.0320232117587567
"full",0.07186423797512
"take",-0.0985744487373211
"return",-1.24010193095084
"sure",0.0920642735679843
"usual_wear",0
"issu",0.125873709222437
"review",-0.102191173501033
"good",0.107159471466529
"versatil",0.822011293215742
"worn",0.323637794388632
"short",-0.144485886774394
"make",0.0223558281650166
"underneath",0.126029151168281
"love_color",-0.334409239596901
"see",-0.126504452060435
"went",0.0917249672751981
"gorgeous",0.431047516301594
"tri",-0.15472105539554
"decid",0.368633899615329
"though",0.201999174481583
"said",0.140227577662716
"everyth",0
"pant",-0.10772892729754
"look_like",-0.597130439173096
"mani",0.204601803046591
"end",-0.0103749789326847
"worth",-0.0562601887338603
"got",0.218633135230506
"quit",0
"buy",0.10811395440055
"feel",0
"think",0.173504112278394
"alway",0.420750370252452
"use",-0.32835475035679
"feel_like",-0.0194074662945492
"bit",0.469751272423615
"big",-0.0280636792463302
"sleev",-0.0479649937079329
"go",-0.234357968684426
"sinc",0.0573324351599193
"light",0.321997770141374
"pictur",-0.13849275821407
"even",-0.390171239162154
"huge",-1.2064031217742
"sweater",-0.113528028669999
"beauti",0.422600157320748
"will",0.308664620414651
"back",-0.55710085406819
"tee",0.289817682555829
"soft",0.584836036403105
"thin",-0.537377400513787
"summer",0.258769627550225
"area",-0.200218874743598
"run",0.168602288626271
"larger",0.076083323133341
"normal",0.102682170638895
"snug",0.446056300462091
"bust",-0.137377966955687
"say",0
"feminin",1.18973440897076
"retail",-0.120805818746268
"fine",0
"room",0.156628718200523
"sheer",-0.176601746378408
"bra",0.0226077813851705
"easili",0.101049191209988
"order_size",0.211918147875436
"lbs",0
"typic",0.140171529633989
"regular",0.114793393557781
"smaller",-0.129403478739395
"longer",0.108330395934537
"fit_perfect",0.196639767557715
"shape",-0.341374012114199
"super",0.133747647468729
"flowi",0.231587387998336
"materi",-0.48027408478648
"spring",0.390265206829382
"pull",-0.344605028566473
"disappoint",-1.54699852875668
"first",-0.177183116583303
"year",0.0803254456142358
"look_great",0
"right",0
"lace",0
"blue",0.169239203164737
"made",-0.248738829291837
"line",-0.0567827362071221
"keep",0.185748115079689
"pocket",0
"print",0.0919602047264379
"tts",0.474108118028605
"seem",-0.409373010818105
"much",-0.170909381882817
"black",0.240832756922118
"boot",0.998417368901154
"chest",-0.0522156049589146
"came",-0.197478795206118
"especi",0
"sale",0.181509904335689
"price",-0.422635435135169
"now",0
"enough",0.453845348385676
"problem",-0.27653323399037
"purchas",0.152305623009758
"size_small",-0.00511371548484755
"fit_well",0
"cute",0.0530535239121295
"receiv",-0.068766904640783
"can",0.666641940797064
"put",-0.262314929071468
"side",0
"figur",-0.0692192666117387
"way",-0.449041833811289
"bodi",-0.186880008337602
"still",0.0850953699725896
"hip",-0.0839855808684005
"thought",-0.553105437493898
"uniqu",1.1011334388007
"t",0.257733878039957
"open",-0.259808638113955
"part",-0.0832621593162526
"well_made",0.271064542023437
"larg",0
"hem",0.11009341840191
"may",0.260852492636678
"blous",0
"wait",0.368045561381172
"come",0
"pattern",0
"drape",0.181579572218335
"thing",0
"skinni",0.19010952267521
"arm",-0.293085845872052
"probabl",0.123433655122976
"button",-0.0926846516426972
"shoulder",0
"give",0.188408146954263
"slight",0.569952652009422
"fit_great",0.163211696912445
"day",0
"differ",0.233710130511066
"favorit",0.473513751672805
"jacket",0.195946287829656
"without",0.423016639926159
"detail",0.456173885390797
"weight",0.18416678129827
"X5.4",0.0497489203594236
"comfi",0.763694606037725
"winter",0.0417367504305914
"fit_true",0
"two",-0.388414050417807
"stretch",0
"recommend.1",0.441696698828604
"true_size",0.26275119516503
"sad",-0.661227715026879
"need",0.127687171662912
"photo",-0.172079848754703
"saw",0.366031931416417
"X5.3",0.281090758364214
"wore",-0.294989712869856
"tank",0.220771695882126
"piec",0.132356795627719
"yet",0.508363135321487
"felt",-0.654054066765002
"cut",-0.245740048134413
"wide",-0.478945731017638
"refer",-0.0900996468239127
"expect",-0.304747914384708
"thick",0
"love_top",0.508528482965693
"actual",0.215091715490458
"extra",0.070886380787245
"boxi",-0.629168100406111
"warm",0.440333386542529
"size_fit",0.0954914735402847
"shorter",-0.0811445145133411
"add",0.805705800816131
"anoth",0
"cloth",-0.154393093453623
"neck",-0.164736006098176
"amaz",0.855102393384709
"casual",0.7973849414618
"necklin",-0.21194754813144
"unfortun",-0.887505190166404
"might",0.0246362249680277
"ador",0.397495827557233
"best",0.247793017705179
"m",0.282117320606745
"know",0.0197381221410255
"hang",-0.153417664792338
"lightweight",0.408761772471369
"howev",-0.508245588022609
"surpris",0.602536956421516
"heavi",-0.184624891889361
"flow",0.109999005497408
"run_larg",0.173121772377401
"green",0.368813810289216
"easi",0.955403797387929
"low",0
"mayb",-0.638410110735741
"denim",0.0241819847727951
"slim",0.302426287844898
